permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
22753,CHARMING SHOPPES INC,1972-12-14,2938,5621,"Women's Clothing Stores",2.875,0,1995-01-31,6.375,655.94925,5.431,0.42,840.809,44.689,0.0799700083389702,0.504609696826539,1.88904347826087,0.146086956521739
27617,MAYS (J.W.) INC,1960-09-14,7138,6512,"Operators-Nonres Bldgs",7.6875,1,1995-07-31,7.5,16.02,12.7776,-0.18,36.144,-0.372,-0.0136298684644414,0.32429560693218,1.66212682926829,-0.0234146341463415
28717,DATAFLEX CORP,1981-12-10,3772,5045,"Computers and Software-Whsl",3.375,1,1995-03-31,8.125,38.699375,7.1678,0.45,146.581,2.139,0.0626537785588752,3.29352665495021,2.12379259259259,0.133333333333333
30840,CONTINENTAL MATERIALS CORP,1962-07-02,3465,3585,"Air-Cond, Heating, Refrig Eq",12.125,1,1995-12-31,12.125,13.640625,24.2498,0.6,47.223,0.681,0.0249624280634874,0.730984934569847,1.99998350515464,0.0494845360824742
43028,SAUCONY INC  -CL B,1982-11-05,5802,3021,"Rubber and Plastics Footwear",3.75,1,1995-12-31,4.125,25.645125,7.7795,0.26,69.471,1.591,0.0328956890313243,0.432875012922568,2.07453333333333,0.0693333333333333
53373,SIEBERT FINANCIAL CORP,1972-12-14,7315,6211,"Security Brokers and Dealers",10,1,1995-03-31,10.49999908,8.93549921708,18.6816,0.6,17.337,0.508,0.0319537048685369,0.0905145301295761,1.86816,0.06
65015,ORIOLE HOMES CORP  -CL B,1983-04-04,8184,1531,"Operative Builders",6.125,1,1995-12-31,6.125,28.33425,14.6262,-2.54,179.478,-11.762,-0.173837217895095,1.6526063759034,2.38795102040816,-0.41469387755102
65808,UNITED FOODS  -CL A,1983-12-02,10899,2030,"Can, Frozn, Presrv Fruit and Veg",1.9375,1,1995-02-28,2.31199932,27.26309598144,4.8711,0.19,114.157,2.402,0.0418175487465181,0.98741295264624,2.51411612903226,0.0980645161290323
68559,SAGE LABORATORIES INC,1982-06-30,9366,3679,"Electronic Components, Nec",20,1,1995-06-30,58.99999619,13.39299913513,37.3921,5.99,11.611,1.389,0.163642789820924,0.367931196983977,1.869605,0.2995
85439,AMERICAN PACIFIC CORP,1972-12-14,1533,2810,"Indl Inorganic Chemicals",5.5,1,1995-09-30,5.375,43.542875,12.0751,-0.19,157.789,-1.536,-0.0157023103659783,0.613054590063382,2.19547272727273,-0.0345454545454545
