permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10779,BK TECHNOLOGIES CORP,1978-10-03,1117,3663,"Radio, TV Broadcast, Comm Eq",0.40625,1,2000-12-31,0.40625,2.1718125,1.1897,-0.22,18.422,-1.428,-0.224528301886792,1.89654088050314,2.92849230769231,-0.541538461538462
10886,DIXIE GROUP INC,1986-11-25,4001,2273,"Carpets and Rugs",2.375,1,2000-12-31,2.375,29.19825,8.8084,-0.88,423.206,-9.326,-0.0861198068168177,2.90804406645058,3.7088,-0.370526315789474
11757,FIRST TEAM SPORTS,1987-10-02,14111,3949,"Sporting and Athletic Gds, Nec",1.1875,0,2000-02-29,2.5,14.65,4.0592,0,42.249,0.018,0.000756715853197124,0.776138226762517,3.41827368421053,0
11910,TECHTEAM GLOBAL INC,1988-01-12,14145,7370,"Cmp Programming, Data Process",2.21875,1,2000-12-31,2.21875,23.69846875,7.3136,0.17,100.774,2.146,0.0274716130931807,0.290039300024322,3.29627042253521,0.0766197183098592
12458,RYERSON HOLDING CORP,1925-12-31,5968,5051,"Metals Service Centers-Whsl",8.25,1,2000-12-31,8.25,204.3855,26.5682,-1.03,1372.1,-29.9,-0.0451866404715128,1.07359830739006,3.22038787878788,-0.124848484848485
21338,FEDERAL-MOGUL HOLDINGS CORP,1940-07-22,4600,3714,"Motor Vehicle Part,Accessory",2.3125,0,2000-12-31,2.3125,163.3064375,21.4121,-4.02,10255,-281.5,-0.181589472326151,5.57818346019868,9.25928648648649,-1.73837837837838
43617,AMERICAN INDEPENDENCE CORP,1966-08-01,10451,6324,"Hospital and Medical Svc Plans",1.8125,0,2000-09-30,5.96875,167.79946875,4.9768,-0.87,212.306,-232.353,-1.66068442042969,0.517403547893706,2.74582068965517,-0.48
61209,BREEZE-EASTERN CORP,1972-12-14,10692,3537,"Indl Trucks,Tractors,Trailrs",3.1875,1,2000-03-31,12.25,75.27625,20.9736,1.16,482.755,6.594,0.0511626824329043,2.74568407004803,6.57995294117647,0.363921568627451
61269,PARK OHIO HOLDINGS CORP,1972-12-14,8350,5072,"Hardware-Wholesale",4.875,1,2000-12-31,4.875,51.168,14.4937,0.05,635.332,0.518,0.00340507211127618,3.17635381197166,2.97306666666667,0.0102564102564103
75580,MGC DIAGNOSTICS CORP,1988-08-05,14581,3845,"Electromedical Apparatus",0.625,1,2000-12-31,0.625,2.17625,1.9655,-1.79,30.557,4.403,0.64333722969024,3.46478667445938,3.1448,-2.864
83142,APPLICA INC,1977-03-14,11531,3634,"Electric Housewares and Fans",4.875,1,2000-12-31,4.875,112.515,14.0587,-0.92,707.935,-21.216,-0.06538582444202,1.18179268600874,2.8838358974359,-0.188717948717949
87725,INSTEEL INDUSTRIES,1985-04-25,4498,3310,"Steel Wrk, RollandFinish Mill",1.75,1,2000-09-30,4.0625,34.36875,9.1535,0.25,245.448,2.121,0.0273892999651339,2.16956572269787,5.23057142857143,0.142857142857143
90879,PACIFICARE HEALTH SYSTEMS,1985-05-23,12126,6324,"Hospital and Medical Svc Plans",15,1,2000-12-31,15,501.81,59.89,4.59,5323.436,161.04,0.0803769290662621,1.6561480564595,3.99266666666667,0.306
91687,SANDS REGENT,1985-01-31,9397,7990,"Misc Amusement and Rec Service",2.25,1,2000-06-30,1.4375,6.465875,6.9669,0.33,47.092,1.491,0.0475795385646361,0.502760315282254,3.0964,0.146666666666667
